ID;Question;A1;A2;A3;A4;A5
1;"Hou je van problemen oplossen?";1;2;3;4;5
2;"Kun je je geduld behouden?";1;2;3;4;5
3;"Werk je liever alleen of met een groep?";1;2;3;4;5
4;"Ben je goed in engels?";1;2;3;4;5
5;"Game je veel?";1;2;3;4;5
6;"Wil je dingen die je maakt ook mooi maken?";1;2;3;4;5
7;"Hoeveel ervaring heb je ervaring met programmeren?;"1;2;3;4;5
8;"Weet je veel van computers/hardware af?";1;2;3;4;5
9;"Heb je creatieve oplossingen?";1;2;3;4;5
10;"Weet je hoe je met op google zoeken om moet gaan?";1;2;3;4;5
11;"Hou je van nieuwe dingen leren?";1;2;3;4;5
12;"Blijf je kalm als je niet direct een oplossing voor een probleem hebt?";1;2;3;4;5
13;"Hou je van orde?";1;2;3;4;5
14;"Kun je goed uitleggen aan anderen?";1;2;3;4;5
15;"Wil je anderen graag helpen?";1;2;3;4;5
16;"Wil je graag de leiding hebben?";1;2;3;4;5
